,week_num,date,day,energy_consump,consump_per_day,day_of_week,lowest_temp,highest_temp,temp_collect,sunrise(AM),sunset(PM),humidity(%),is_weekend,weather_status,num_people,gas_consump,gas_per_day,wind_speed(kmh),occasion,sister_in_school,people_over,AC_consump,washing_machine,dishwasher_consump,tv_consump,fridge_consump,freezer_consump,change_in_temp
0,Week_1,2020-10-21,21,87322,37.333333333333336,wednesday,20,31,30,6:01,5:17,0.89,weekend,partly cloudy,6,27617.264,,16,0,0,No One Over,30.0,0,0,5.0,24,24,11
1,Week_1,2020-10-22,22,87353,31.0,thursday,19,29,29,6:01,5:16,0.48,weekday,mostly clear,5,27618.361,1.0970000000015716,10,1,0,People Over,25.0,0,0,3.0,24,24,10
2,Week_1,2020-10-23,23,87393,40.0,friday,19,31,31,6:02,5:15,0.32,weekend,sunny,5,27619.827999999998,1.466999999996915,11,0,0,No One Over,22.5,3,1,2.0,24,24,12
3,Week_1,2020-10-24,24,87441,48.0,saturday,17,28,28,6:03,5:14,0.36,weekend,mostly cloudy,4,27621.127,1.2990000000027067,11,0,0,No One Over,15.0,0,0,2.0,24,24,11
4,Week_1,2020-10-25,25,87473,32.0,sunday,18,27,28,6:04,5:13,0.39,weekday,mostly sunny,6,27621.988999999998,0.8619999999973516,13,0,0,People Over,35.0,0,1,4.0,24,24,9
5,Week_1,2020-10-26,26,87510,37.0,monday,18,29,29,6:04,5:12,0.46,weekday,mostly sunny,5,27624.299,2.3100000000013097,10,0,0,No One Over,15.0,0,1,2.0,24,24,11
6,Week_1,2020-10-27,27,87546,36.0,tuesday,18,29,29,6:04,5:11,0.47,weekday,partly sunny,5,27626.282000000003,1.9830000000038126,13,0,0,No One Over,15.0,0,0,3.0,24,24,11
7,Week_2,2020-10-28,28,87564,18.0,wednesday,21,30,29,6:06,5:11,0.48,weekday,partly cloudy,5,27626.646,0.363999999997759,18,0,0,No One Over,10.0,0,0,3.0,24,24,9
8,Week_2,2020-10-29,29,87598,34.0,thursday,19,30,30,6:06,5:10,0.43,weekday,partly cloudy,5,27628.263,1.6169999999983702,16,0,0,No One Over,8.0,1,0,2.0,24,24,11
9,Week_2,2020-10-30,30,87623,25.0,friday,20,30,29,6:08,5:09,0.46,weekend,partly cloudy,3,27629.436,1.173000000002503,21,0,0,No One Over,7.0,0,0,1.5,24,24,10
10,Week_2,2020-10-31,31,87651,28.0,saturday,20,28,28,6:09,5:08,0.47,weekend,mostly cloudy,5,27629.775,0.3389999999999418,26,0,0,No One Over,8.0,0,1,1.0,24,24,8
11,Week_2,2020-11-01,1,87680,29.0,sunday,17,24,24,6:08,5:06,0.55,weekday,mostly cloudy,10,27630.84,1.0649999999986903,24,1,0,People Over,12.0,1,1,6.0,24,24,7
12,Week_2,2020-11-02,2,87704,24.0,monday,16,24,24,6:09,5:05,0.49,weekday,partly cloudy,5,27632.362,1.522000000000844,14,0,1,No One Over,5.0,0,2,2.0,24,24,8
13,Week_2,2020-11-03,3,87735,31.0,tuesday,16,23,23,6:10,5:05,0.48,weekday,partly cloudy,5,27633.73,1.367999999998574,14,0,1,No One Over,5.0,0,4,1.0,24,24,7
14,Week_3,2020-11-04,4,87757,22.0,wednesday,17,24,23,6:11,5:04,0.42,weekday,partly cloudy,5,27634.991,1.261000000002241,21,0,0,No One Over,5.0,0,0,3.0,24,24,7
